Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tugas Mas Ubai,,,,26-10-2025 00:13:47,26-10-2025 00:13:55,7.767s,ERROR
,,,,,,,
Test Cases/Negative testcase/TCN02-Get all user,,,,26-10-2025 00:13:50,26-10-2025 00:13:51,0.294s,ERROR
"requestObject = findTestObject(""Repository without environment/Get All User"")",,,,26-10-2025 00:13:51,26-10-2025 00:13:51,0.007s,PASSED
"requestObject.setRestUrl(""https://reqres.in/api/doesnotexist"")",,,,26-10-2025 00:13:51,26-10-2025 00:13:51,0.001s,PASSED
negativeResponse = sendRequest(requestObject),,,,26-10-2025 00:13:51,26-10-2025 00:13:51,0.217s,PASSED
"verifyResponseStatusCode(negativeResponse, 401)",,,,26-10-2025 00:13:51,26-10-2025 00:13:51,0.004s,PASSED
println(getResponseText(negativeResponse)),,,,26-10-2025 00:13:51,26-10-2025 00:13:51,0.019s,ERROR
,,,,,,,
Test Cases/Negative testcase/TCN03-Get single user,,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.253s,ERROR
"requestObject = findTestObject(""Repository without environment/Get single User"")",,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.004s,PASSED
"requestObject.setRestUrl(""https://reqres.in/api/doesnotexist"")",,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.000s,PASSED
negativeResponse = sendRequest(requestObject),,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.216s,PASSED
"verifyResponseStatusCode(negativeResponse, 401)",,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.003s,PASSED
println(getResponseText(negativeResponse)),,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.008s,ERROR
,,,,,,,
Test Cases/Negative testcase/TCN01-Delete user,,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.276s,PASSED
"requestObject = findTestObject(""Repository without environment/Delete user"")",,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.006s,PASSED
"requestObject.setRestUrl(""https://reqres.in/api/users/99999"")",,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.003s,PASSED
response = sendRequest(requestObject),,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.213s,PASSED
"verifyResponseStatusCode(response, 401)",,,,26-10-2025 00:13:52,26-10-2025 00:13:52,0.003s,PASSED
,,,,,,,
Test Cases/Positive testcase/Test with CRUD,,,,26-10-2025 00:13:52,26-10-2025 00:13:54,1.352s,PASSED
"deleteResponse = sendRequestAndVerify(findTestObject(""Repository without environment/Delete user""))",,,,26-10-2025 00:13:52,26-10-2025 00:13:54,1.294s,PASSED
"verifyResponseStatusCode(deleteResponse, 204)",,,,26-10-2025 00:13:54,26-10-2025 00:13:54,0.002s,PASSED
,,,,,,,
